session,method,gender,emotion,n_annotators,agreement,path,absolute_path,emotion_label
1,script,1,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F000.wav,0
1,script,1,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F001.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F001.wav,1
1,script,1,sur,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F003.wav,2
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F004.wav,0
1,script,1,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F006.wav,3
1,script,1,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F007.wav,3
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F008.wav,0
1,script,1,hap,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F009.wav,4
1,script,1,sad,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F010.wav,5
1,script,1,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F014.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F014.wav,1
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F015.wav,0
1,script,1,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F017.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F017.wav,1
1,script,1,fru,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F019.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F019.wav,1
1,script,1,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F021.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F021.wav,1
1,script,1,fru,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F023.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F023.wav,1
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F024.wav,0
1,script,1,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_F025.wav,0
1,script,1,exc,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M002.wav,6
1,script,1,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M007.wav,0
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M008.wav,0
1,script,1,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M009.wav,0
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M010.wav,0
1,script,1,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,E:\Final-year-project\AI-PublicSpeaking-Anxiety\datasets\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M011.wav,0
